scientificName,date,decimalLatitude,decimalLongitude,dataset_id
Codium fragile subsp. fragile,2009,41.6219139099,-70.3953323364,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6074905396,-70.401550293,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6074905396,-70.401550293,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.622215271,-70.2649841309,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.622215271,-70.2649841309,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6219139099,-70.3953323364,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.622215271,-70.2649841309,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6074905396,-70.401550293,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6219139099,-70.3953323364,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6074905396,-70.401550293,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2009,41.6219139099,-70.3953323364,1618356f-0f62-4cbb-9252-005120e31fb0
Codium fragile subsp. fragile,2003,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.1122817993,-72.3581085205,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2007,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.6868782043,-71.3929977417,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2007,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.5055007935,-71.3253479004,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2000,41.4946212769,-71.3963165283,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2003,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c
Codium fragile subsp. fragile,2010,41.6241607666,-70.3652954102,aefc0943-90a0-4b2b-9689-3d88711d945a
Grateloupia turuturu,2010,41.63941,-71.3401,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2010,41.63941,-71.3401,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2010,41.6227833333,-71.3258333333,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2010,41.6227833333,-71.3258333333,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2010,41.6227833333,-71.3258333333,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2010,41.63941,-71.3401,0c59dc30-4b06-4572-addc-155042f81fd0
Grateloupia turuturu,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Grateloupia turuturu,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Grateloupia turuturu,2009,41.4742660522,-71.3360366821,1618356f-0f62-4cbb-9252-005120e31fb0
Grateloupia turuturu,2007,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Grateloupia turuturu,2000,41.5055007935,-71.3253479004,4da23d30-af8d-48f3-977a-4e24394e2e8c
Grateloupia turuturu,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Grateloupia turuturu,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Grateloupia turuturu,2003,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.7824401855,-71.3921127319,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.7824401855,-71.3921127319,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.7824401855,-71.3921127319,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.7824401855,-71.3921127319,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.6207427979,-71.4093170166,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.3877410889,-71.5172653198,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2009,41.7824401855,-71.3921127319,1618356f-0f62-4cbb-9252-005120e31fb0
Diadumene lineata,2000,38.125915,-76.201172,16434578-ebf7-4bcc-a776-508ffece76de
Diadumene lineata,2000,41.8171081543,-71.3882369995,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.8171081543,-71.3882369995,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.7764587402,-71.3893127441,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.7519989014,-71.3539962769,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.7519989014,-71.3539962769,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.7061195374,-71.1632537842,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.7061195374,-71.1632537842,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.6868782043,-71.3929977417,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.6341209412,-70.9207229614,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.6341209412,-70.9207229614,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.5686988831,-71.4484481812,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.5686988831,-71.4484481812,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2000,41.5055007935,-71.3253479004,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.2116508484,-73.0508270264,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.1122817993,-72.3581085205,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,41.0328483582,-73.5344772339,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,40.9426803589,-72.5702285767,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,40.7052497864,-74.0024032593,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,40.6455001831,-74.1016464233,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,2003,40.5363883972,-74.1330032349,4da23d30-af8d-48f3-977a-4e24394e2e8c
Diadumene lineata,1964,39.0,-76.3669967651,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Diadumene lineata,1980,35.34167099,-75.3583297729,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Diadumene lineata,2018,37.61301,-75.6691,c5687a17-e454-40f9-9a4b-d04b2c812d74
Diadumene lineata,2018,37.61301,-75.6691,c5687a17-e454-40f9-9a4b-d04b2c812d74
Diadumene lineata,2018,37.62737,-75.67806,c5687a17-e454-40f9-9a4b-d04b2c812d74
Diadumene lineata,1964,39.0,-76.3669967651,e7c86904-aac7-4a17-a895-99a54c430d80
Barentsia benedeni,1999,38.125915,-76.201172,16434578-ebf7-4bcc-a776-508ffece76de
Barentsia benedeni,2000,41.8322982788,-71.3778915405,4da23d30-af8d-48f3-977a-4e24394e2e8c
Barentsia benedeni,2003,41.0328483582,-73.5344772339,4da23d30-af8d-48f3-977a-4e24394e2e8c
Barentsia benedeni,2003,40.9426803589,-72.5702285767,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2007,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.6824798584,-71.3011703491,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.6824798584,-71.3011703491,4da23d30-af8d-48f3-977a-4e24394e2e8c
Caprella mutica,2000,41.6498374939,-71.2565765381,4da23d30-af8d-48f3-977a-4e24394e2e8c
