SpeciesName,JEM,DRM,WHM,BFM,BPP,SWM,MMA,NMI,TRM
Neodexiospira brasiliensis,,,,,,,x,,
Caprella mutica,x,x,x,x,x,x,x,,
Carcinus maenas,x,x,x,x,x,x,x,,x
Chthamalus fragilis,,,,,,,x,,
Hemigrapsus sanguineus,,,x,x,x,x,x,x,x
Ianiropsis serricaudis,,,,,x,x,,x,x
Palaemon elegans,x,,x,,x,x,x,,x
Palaemon macrodactylus,,,,,,,,x,x
Praunus flexuosus,x,x,,x,,,,,
Bugula neritina,,,,,x,x,x,x,x
Bugulina simplex,,,,,,,,,x
Conopeum sp. cf. seurati,,,,,x,,,x,
Membranipora membranacea,x,x,x,,x,x,x,x,x
Schizoporella japonica,x,,,,,x,,,
Styela clava,x,,,x,x,x,x,x,x
Diadumene lineata,,x,x,x,x,x,,x,x
Littorina littorea,x,,,x,,,,,
Ostrea edulis,,,x,,x,x,x,,
Colpomenia peregrina,x,,,,,x,,,
Codium fragile subsp. fragile,x,,,,x,,x,x,x
Bonnemaisonia hamifera,,,x,,,x,,,
Dasysiphonia japonica,,,x,,x,x,x,,
Grateloupia turuturu,,,,,x,x,x,x,x
Lomentaria clavellosa,,,,,x,,,,x
Alitta virens,x,x,,x,x,,,,
Amphitrite cirrata,,,,,x,,,,
Circeis spirillum,,,,,,,,,x
Dodecaceria concharum,,,,,x,,,,
Eulalia viridis,x,,,,x,,,,
Harmothoe imbricata,x,,,,x,,,,x
Hediste diversicolor,,x,x,,,,,,
Janua heterostropha,,,,,,x,,x,
Lepidonotus squamatus,x,x,x,,x,x,x,x,x
Neoamphitrite figulus,,x,x,,x,,,,
Nereis pelagica,,x,,,,,,,
Phyllodoce maculata,x,,,,x,,,,x
Phyllodoce mucosa,x,,,,,,,,
Platynereis sp.,x,,,,,,,,x
Polydora cornuta,x,,,,,,,,
Polydora neocaeca,,,,,,x,,,
Polydora websteri,,,,,x,x,x,,x
Potamilla neglecta,,,,,x,,x,x,
Syllis gracilis,,x,x,,,,,,
Caprella penantis,,,,,,,x,,
"Monocorophium acherusicum",x,,x,x,,x,,,
Monocorophium insidiosum,,x,,,,x,,,x
