SpeciesName,POP,MMA,SWM,ROW,HCM,UNH,PHM,BFM
Codium fragile subsp. fragile (Suringar) Hariot 1889,x,x,,,,x,,
Phaeophyceae (brown algae),,,,,,,,
Colpomenia peregrina Sauvageau 1927,,x,,,,,,
Rhodophyta (red algae),,,,,,,,
Dasysiphonia japonica (Yendo) H. S. Kim 2012 -,,x,x,,,x,x,x
Grateloupia turuturu Yamada 1941,x,x,,x,x,,,
Lomentaria clavellosa (Lightfoot ex Turner) Gaillon 1828,,,,,,x,,
Lomentaria orcadensis (Harvey) Collins in W.R. Taylor 1937,,,,,,x,,
Pyropia yezoensis (Ueda) M.S. Hwang and H.G. Choi 2011,,,x,,,,,
"Caprella mutica Schurin, 1935",x,x,x,x,x,x,x,x
"Carcinus maenas (Linnaeus, 1758)",x,x,,x,x,x,,
"Chthamalus fragilis Darwin, 18541",,x,,,,,,
"Hemigrapsus sanguineus (De Haan, 1835 [in De Haan, 1833 1850]) -",x,x,x,,x,,,
"Ianiropsis serricaudis Gurjanova, 1936",,x,,,,,,
"Palaemon macrodactylus Rathbun, 1902",x,,,,,,,
"Praunus flexuosus (Müller, 1776)",,,,,x,,x,x
"Bugula neritina (Linnaeus, 1758)",x,x,x,,,,,
"Bugulina simplex (Hincks, 1886)",x,,x,,,,,
"Membranipora membranacea (Linnaeus, 1767)",,,x,,x,x,x,
"Tricellaria inopinata d Hondt & Occhipinti Ambrogi, 1985 ’",,x,x,x,x,x,x,x
"Ascidiella aspersa (Müller, 1776)",,x,x,x,x,x,x,x
"Botrylloides violaceus Oka, 1927",x,x,x,x,x,x,x,x
"Botryllus schlosseri (Pallas, 1766)2",x,x,x,x,x,x,x,x
"Ciona intestinalis (Linnaeus, 1767)3",,x,x,x,x,x,x,x
"Didemnum vexillum Kott, 2002",x,x,x,x,x,x,x,
"Styela canopus (Savigny, 1816)",,x,x,x,,,,
"Styela clava Herdman, 1881",x,x,x,x,x,x,x,x
"Cnidaria (anemones, hydroids, and relatives)",,,,,,,,
"Diadumene lineata (Verrill, 1869)",x,,x,x,,,x,x
"Ostrea edulis Linnaeus, 1758",,,,x,x,x,x,x
