SpeciesName,JEM,DRM,WHM,BFM,BPP,SWM,MMA,NMI,TRM
Neodexiospira brasiliensis,,,,,,,x,,
Caprella mutica,x,x,x,x,x,x,x,,
Carcinus maenas,x,x,x,x,x,x,x,,x
Chthamalus fragilis,,,,,,,x,,
Hemigrapsus sanguineus,,,x,x,x,x,x,x,x
Ianiropsis serricaudis,,,,,x,x,,x,x
Palaemon elegans,x,,x,,x,x,x,,x
Palaemon macrodactylus,,,,,,,,x,x
Praunus flexuosus,x,x,,x,,,,,
Bugula neritina,,,,,x,x,x,x,x
Bugulina simplex,,,,,,,,,x
Conopeum sp. cf. seurati,,,,,x,,,x,
Membranipora membranacea,x,x,x,,x,x,x,x,x
Schizoporella japonica,x,,,,,x,,,
Styela clava,x,,,x,x,x,x,x,x
Diadumene lineata,,x,x,x,x,x,,x,x
Littorina littorea,x,,,x,,,,,
Ostrea edulis,,,x,,x,x,x,,
Colpomenia peregrina,x,,,,,x,,,
Codium fragile subsp. fragile,x,,,,x,,x,x,x
Bonnemaisonia hamifera,,,x,,,x,,,
Dasysiphonia japonica,,,x,,x,x,x,,
Grateloupia turuturu,,,,,x,x,x,x,x
Lomentaria clavellosa,,,,,x,,,,x
