SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
6897,1967,m010,West Falmouth/MA/Buzzards Bay, Carlton and Scanlon 1985,West Falmouth,41.6037195,-70.637435
6897,1968,m010,Scraggy Neck/MA/Bourne, Carlton and Scanlon 1985,Scraggy Neck,41.6668027,-70.6700327
6897,1969,m010,Bourne/MA/Cape Cod Canal, Carlton and Scanlon 1985,Bourne,41.7282434,-70.7696565
6897,2000,m010,"Tirpps Marina, Westport/MA/Westport River", 2003,"Tirpps Marina, Westport",41.5131447,-71.0802014
6897,2000,m010,"Woods Hole Coast Guard Station/MA/Little Harbor, Vineyard Sound", 2003,Woods Hole Coast Guard Station,41.521339,-70.6696686
6897,2000,m010,Massachusetts Maritme Academy, 2003,Massachusetts Maritme Academy,41.7408253,-70.6248262
6897,2010,m010,"Popes Island Marina, New Bedford", Massachusetts Office of Coastal Zone Management 2013,"Popes Island Marina, New Bedford",41.6399363,-70.9159954
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003,"Warwick Cove Marina, Warwick",41.6882062,-71.3967663
6897,2000,m020,"Allens Harbor, North Kingstown/RI/Narragansett Bay", MIT Sea Grant 2003,"Allens Harbor, North Kingstown",42.3664655,-71.0854323
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003,"Warwick Cove Marina, Warwick",41.6882062,-71.3967663
6897,2000,m020,"Fort Getty Pier, Jamestown/RI/West Passage", MIT Sea Grant 2003,"Fort Getty Pier, Jamestown",41.488842,-71.4017236
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003,"Warwick Cove Marina, Warwick",41.6882062,-71.3967663
6897,2000,m020,"Newport Shipyard, Newport/RI/East Passage, Narragansett Bay", MIT Sea Grant 2003,"Newport Shipyard, Newport",41.4904433,-71.3242881
6897,2005,m020,"Brenton Point Sate Park, Newport/RI/Narragansett Bay", Jones and Thorber 2010,"Brenton Point Sate Park, Newport",41.4526608,-71.3569384
6897,7/26/2010,m020,"Fort Adams St. Park, Newport/RI/Narragansett Bay", MacIntyre et al. 2011; Massachusetts Office of Coastal Zone Management 2013,"Fort Adams St. Park, Newport",42.3664655,-71.0854323
6897,2000,m020,Great South Bay Warwick/RI/Narragansett Bay, MIT Sea Grant 2003,"Warwick Cove Marina, Warwick",42.3664655,-71.0854323
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003,"Warwick Cove Marina, Warwick",41.6882062,-71.3967663
6897,Vaughan 1971,m023,RI/Point Judith Pond, cited by Matheison et al. 2008,RI,42.3664655,-71.0854323
6897,2010,m023,Pt. Judith Marina/RI/Rt. Judith Pond, Massachusetts Office of Coastal Zone Management 2013; 2019,Pt. Judith Marina,42.3664655,-71.0854323
6897,1957,m030,East Marion/NY/Gardiner's Bay, Bouck and Morgan 1957,East Marion,42.3664655,-71.0854323
6897,Unknown Date,m030,"Stirling Harbor Shipyard, Greenport/NY/Peconic Bay",MIT Sea Grant 2003; Mathieson et al. 2008,"Stirling Harbor Shipyard, Greenport",41.1128936,-72.3613478
6897,1961,m040,Mystic/CT/Fishers Island Sound, Carlton and Scanlon 1985,Mystic,42.3664655,-71.0854323
6897,1968,m040,Niantic/CT/Niantic River, Carlton and Scanlon 1985,Niantic,41.3211247,-72.2382335
6897,2000-2002,m040,"Cove Island, Stamford,/CT/Long Island Sound", Pedersen et al. 2008,"Cove Island, Stamford,",41.0473491,-73.5215114
