"Taxonomic Group","Name","Year","Invasion Status","Population Status","Vectors"
"Algae","Antithamnion hubbsii*","1985","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Batophora oerstedii*","2015","Non-native","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Algae","Bonnemaisonia hamifera","1927","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Bryopsis maxima*","2013","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Ceramium secundatum*","2007","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Codium fragile ssp. Fragile","1957","Non-native","Established","Ballast Water, Hull Fouling, Oyster Accidental"
"Algae","Colpomenia peregrina*","2012","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Cylindrospermopsis raciborskii*","1977","Non-native","Established","None"
"Algae","Dasysiphonia japonica","2009","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Dumontia contorta*","1927","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Gracilaria vermiculophylla","1998","Non-native","Established","Ballast Water, Hull Fouling, Oyster Accidental"
"Algae","Grateloupia turuturu","1996","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Lomentaria clavellosa*","1972","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Lomentaria orcadensis*","1853","Non-native","Established","Hull Fouling"
"Algae","Melanosiphon intestinalis*","2002","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Melanothamnus japonicus*","2007","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Neopyropia katadae*","2005","Non-native","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Algae","Neopyropia koreana*","2003","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Neopyropia yezoensis*","2005","Non-native","Established","Ballast Water, Fisheries Accidental (not Oyster), Hull Fouling"
"Algae","Phycocalidia suborbiculata*","1966","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Rhodymenia delicatula*","1996","Non-native","Established","Ballast Water, Hull Fouling"
"Algae","Striaria attenuata*","1848","Non-native","Established","Hull Fouling"
"Algae","Ulonema rhizophorum*","2002","Non-native","Established","None"
"Algae","Ulva australis","2011","Non-native","Established","None"
"Algae","Ulva laetevirens*","2011","Non-native","Established","Ballast Water, Hull Fouling"
"Annelids-Oligochaetes","Branchiura sowerbyi*","1955","Non-native","Established","None"
"Annelids-Oligochaetes","Cambarincola pamelae*","2003","Non-native","Established","None"
"Annelids-Oligochaetes","Potamothrix vejdovskyi*","1974","Non-native","Established","None"
"Annelids-Polychaetes","Boccardiella ligerica","1990","Non-native","Established","Ballast Water"
"Annelids-Polychaetes","Ficopomatus enigmaticus","1976","Non-native","Established","Ballast Water, Hull Fouling"
"Annelids-Polychaetes","Hediste diversicolor","1963","Non-native","Established","None"
"Annelids-Polychaetes","Janua heterostropha","2000","Non-native","Established","Hull Fouling"
"Annelids-Polychaetes","Neodexiospira brasiliensis","1982","Non-native","Established","Hull Fouling"
"Arthropoda-Insects","Anisolabis maritima","1901","Non-native","Established","Cargo, Dry Ballast"
