SpeciesID,Date,RegionID,RegionName,Source(s)
6897,1967,m010,West Falmouth/MA/Buzzards Bay, Carlton and Scanlon 1985
6897,1968,m010,Scraggy Neck/MA/Bourne, Carlton and Scanlon 1985
6897,1969,m010,Bourne/MA/Cape Cod Canal, Carlton and Scanlon 1985
6897,2000,m010,"Tirpps Marina, Westport/MA/Westport River", 2003
6897,2000,m010,"Woods Hole Coast Guard Station/MA/Little Harbor, Vineyard Sound", 2003
6897,2000,m010,Massachusetts Maritme Academy, 2003
6897,2010,m010,"Popes Island Marina, New Bedford", Massachusetts Office of Coastal Zone Management 2013
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003
6897,2000,m020,"Allens Harbor, North Kingstown/RI/Narragansett Bay", MIT Sea Grant 2003
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003
6897,2000,m020,"Fort Getty Pier, Jamestown/RI/West Passage", MIT Sea Grant 2003
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003
6897,2000,m020,"Newport Shipyard, Newport/RI/East Passage, Narragansett Bay", MIT Sea Grant 2003
6897,2005,m020,"Brenton Point Sate Park, Newport/RI/Narragansett Bay", Jones and Thorber 2010
6897,7/26/2010,m020,"Fort Adams St. Park, Newport/RI/Narragansett Bay", MacIntyre et al. 2011; Massachusetts Office of Coastal Zone Management 2013
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003
6897,2000,m020,"Warwick Cove Marina, Warwick/RI/Narragansett Bay", MIT Sea Grant 2003
6897,Vaughan 1971,m023,RI/Point Judith Pond, cited by Matheison et al. 2008
6897,2010,m023,Pt. Judith Marina/RI/Rt. Judith Pond, Massachusetts Office of Coastal Zone Management 2013; 2019
6897,1957,m030,East Marion/NY/Gardiner's Bay, Bouck and Morgan 1957
6897,Unknown Date,m030,"Stirling Harbor Shipyard, Greenport/NY/Peconic Bay",MIT Sea Grant 2003; Mathieson et al. 2008
6897,1961,m040,Mystic/CT/Fishers Island Sound, Carlton and Scanlon 1985
