Name,Region URL,Region,Introduction Origin,Invasiveness,Occurrence,Quality
Codium fragile subsp. fragile,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Invasive,Reported,unreviewed
Codium fragile subsp. fragile,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Dasysiphonia japonica,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Dasysiphonia japonica,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established and expanding,trusted
Grateloupia turuturu,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,trusted
Grateloupia turuturu,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Grateloupia turuturu,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Diadumene lineata,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Barentsia benedeni,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Barentsia benedeni,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Barentsia benedeni,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not invasive,Reported,trusted
Ianiropsis serricaudis,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,trusted
Grandidierella japonica,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Not specified,Reported,checked
Microdeutopus gryllotalpa,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Microdeutopus gryllotalpa,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Caprella mutica,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,trusted
Caprella mutica,http://marineregions.org/mrgid/25356,Canadian part of the North Atlantic Ocean,Alien,Not specified,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/7135,North West Atlantic,,,,unreviewed
Hemigrapsus sanguineus,http://marineregions.org/mrgid/8940,Gulf of Maine,,,,unreviewed
Hemigrapsus sanguineus,http://marineregions.org/mrgid/1912,North Atlantic,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Established,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Uncertain,Reported,checked
Hemigrapsus sanguineus,http://marineregions.org/mrgid/25365,United States part of the North Atlantic Ocean,Alien,Invasive,Reported,checked
