Species Set Number,Genus,Species,Species Nemesis ID,Species OBIS ID
1,Codium,fragile,6897,145086
1,Dasysiphonia,japonica,13421,836896
1,Grateloupia,turuturu,12572,295880
1,Diadumene,lineata,52757,395099
1,Barentsia,benedeni,-94,111800
1,Ianiropsis,serricaudis,544802,255999
1,Grandidierella,japonica,-82,238740
1,Microdeutopus,gryllotalpa,93477,102048
1,Caprella,mutica,-77,146768
1,Hemigrapsus,sanguineus,-2,158417
2,Carcinus,maenas,98734,107381
2,Palaemon,macrodactylus,96450,181372
2,Bugula,neritina,-95,111158
2,Tricellaria,inopinata,-572,111254
2,Didemnum,vexillum,-334,250126
2,Diplosoma,listerianum,159099,103579
2,Styela,clava,159337,103929
2,Botrylloides,violaceus,-100,148715
2,Botryllus,schlosseri,159373,103862
2,Ascidiella,aspersa,159213,103718
3,Ciona,intestinalis,159113,103732
3,Cladophora,sericea,,145065
3,Bryopsis,plumosa,,144457
3,Ulva,compressa,,234462
3,Ulva,lactuca,,145984
3,Ulva,linza,,234474
3,Ulva,rigida,,145990
3,Halichondria,bowerbanki,48398,132588
3,Haliclona,canaliculata,,157387
3,Ectopleura,larynx,,157933
4,Obelia,bidentata,,117385
4,Obelia,dichotoma,,117386
4,Harmothoe,imbricata,,130769
4,Nereis,pelagica,,130404
4,Phyllodoce,maculata,,334510
4,Dipolydora,socialis,,131124
4,Tanais,dulongii,,136546
4,Apocorophium,acutum,,148604
4,Monocorophium,acherusicum,93590,225814
4,Monocorophium,insidiosum,93600,148592
4,Caprella,equilibra,,101830
4,Amathia,gracilis,,851589
4,Cryptosula,pallasiana,156536,111343
